Address,General Price,Price/m,Area,Size,Rooms,Floor,Year,Link
"Ankru tn 8, Kopli",244900,4820.87,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",50.8,3,3/6,2023,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-ankru-tn/4776585?i=35
Mahtra tn 48,104999,2370.18,"Lasnamäe linnaosa, Tallinn, Harju maakond",44.3,2,7/9,1986,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-mahtra-tn/6449955?i=36
"Kalma tn 8-2, Kalamaja",365000,5423.48,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",67.3,3,1/4,2025,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kalma-tn/1985180?i=37
"Kalma tn 4-3, Kalamaja",369000,5482.91,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",67.3,3,1/4,2025,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kalma-tn/8497446?i=38
"Kalma tn 4-1, Kalamaja",216900,5975.21,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",36.3,2,1/4,2025,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kalma-tn/7344580?i=39
"Kalaranna tn 8/1, Kalamaja",390000,6902.65,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",56.5,2,5/5,2021,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kalaranna-tn/3697654?i=40
"Tartu mnt 15-110, Stellar",228000,5100.67,"Kesklinna linnaosa, Tallinn, Harju maakond",44.7,2,3/6,2027,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-tartu-mnt/6661293?i=41
"Kalma tn 8-5, Kalamaja",367900,5991.86,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",61.4,3,2/4,2025,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kalma-tn/6017269?i=42
"Kalma tn 10-6, Kalamaja",379000,6172.64,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",61.4,3,2/4,2025,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kalma-tn/7910354?i=43
"Kalma tn 8-9, Kalamaja",349800,6147.63,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",56.9,3,3/4,2025,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kalma-tn/8111414?i=44
"Kalma tn 4-12, Kalamaja",1150000,7620.94,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",150.9,4,4/4,2025,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kalma-tn/2391791?i=45
"Kalma tn 4-10, Kalamaja",219800,7159.61,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",30.7,1,3/4,2025,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kalma-tn/5160774?i=46
"Kalma tn 14-2, Kalamaja",414500,6168.15,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",67.2,3,1/4,2025,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kalma-tn/5601423?i=47
"Kalma tn 4-7, Kalamaja",649800,6124.41,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",106.1,4,2/4,2025,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kalma-tn/3918666?i=48
"Kalma tn 6-1, Kalamaja",239000,6584.02,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",36.3,2,1/4,2025,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kalma-tn/4494632?i=49
"Kalma tn 4-9, Kalamaja",349900,6149.38,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",56.9,3,3/4,2025,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kalma-tn/1134002?i=0
"Tartu mnt 15-24, Stellar",337000,4919.71,"Kesklinna linnaosa, Tallinn, Harju maakond",68.5,2,4/16,2027,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-tartu-mnt/6085640?i=1
"Madala tn 30, Pelgurand",77000,2789.86,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",27.6,1,2/4,1961,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-madala-tn/3503025?i=2
"Paldiski mnt 201, Väike-Õismäe",299900,2993.01,"Haabersti linnaosa, Tallinn, Harju maakond",100.2,4,5/5,2015,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-paldiski-mnt/7986719?i=3
Ehitajate tee 43,149900,2653.1,"Mustamäe linnaosa, Tallinn, Harju maakond",56.5,3,3/5,N/A,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-ehitajate-tee/9213070?i=4
Kadaka pst 142/1,235000,3245.86,"Mustamäe linnaosa, Tallinn, Harju maakond",72.4,3,5/8,2016,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-kadaka-pst/7707034?i=5
"Staapli tn 3, Noblessner",435000,5147.93,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",84.5,3,4/6,2019,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-staapli-tn/2157548?i=6
"Gonsiori tn 13, KOMPASSI",223900,3509.4,"Kesklinna linnaosa, Tallinn, Harju maakond",63.8,3,4/5,1961,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-gonsiori-tn/4220253?i=7
"Vabaõhumuuseumi tee 4/2, Rocca al Mare",195000,3135.05,"Haabersti linnaosa, Tallinn, Harju maakond",62.2,2,4/4,2003,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-vabaohumuuseumi-tee/2624491?i=8
Katleri tn 1,169000,2107.23,"Lasnamäe linnaosa, Tallinn, Harju maakond",80.2,4,2/9,1,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-katleri-tn/5307732?i=9
Mustamäe tee 96,129500,2977.01,"Mustamäe linnaosa, Tallinn, Harju maakond",43.5,2,4/5,1963,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-mustamae-tee/6832507?i=10
Mahtra tn 23,120500,2434.34,"Lasnamäe linnaosa, Tallinn, Harju maakond",49.5,2,N/A,N/A,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-mahtra-tn-23/5440173?i=11
A. H. Tammsaare tee 89a,199000,4772.18,"Mustamäe linnaosa, Tallinn, Harju maakond",41.7,2,2/6,2020,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-a-h-tammsaare-tee/3472270?i=12
Lehiku tee 9,258000,2750.53,"Pirita linnaosa, Tallinn, Harju maakond",93.8,3,1/3,2006,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pirita-linnaosa-lehiku-tee/3225820?i=13
"Villardi tn 19, / Luise 40",259000,3444.15,"Kesklinna linnaosa, Tallinn, Harju maakond",75.2,3,4/4,2001,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-villardi-tn/3089311?i=14
Vikerlase tn 4,127000,1906.91,"Lasnamäe linnaosa, Tallinn, Harju maakond",66.6,3,4/5,1987,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-vikerlase-tn/4313438?i=15
Narva mnt 90,389000,4856.43,"Kadriorg, Tallinn, Harju maakond",80.1,2,3/3,2011,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kadriorg-narva-mnt/6248855?i=16
Väike-Patarei tn 1/2,349500,5427.02,"Põhja-Tallinna linnaosa, Tallinn, Harju maakond",64.4,2,4/4,2019,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-vaike-patarei-tn/1492930?i=17
Õismäe tee 100,1,0.03,"Haabersti linnaosa, Tallinn, Harju maakond",35,1,N/A,N/A,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-oismae-tee/7281121?i=18
A. Adamsoni tn 26,320000,3678.16,"Kesklinna linnaosa, Tallinn, Harju maakond",87,5,2/4,1992,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-a-adamsoni-tn/8785219?i=19
"Päevalille tn 8-77, Rocca Towers",295990,4532.77,"Haabersti linnaosa, Tallinn, Harju maakond",65.3,3,13/18,2023,https://www.city24.ee/en/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-paevalille-tn/6231270?i=20
